date,WP(MW)
2020/1/9 2:45,1319.52
2020/1/9 3:00,1322.74
2020/1/9 3:15,1309.11
2020/1/9 3:30,1264.2
2020/1/9 3:45,1179.23
2020/1/9 4:00,1161.37
2020/1/9 4:15,1187.75
2020/1/9 4:30,1146.21
2020/1/9 4:45,1115.24
2020/1/9 5:00,1090
2020/1/9 5:15,1062.6
2020/1/9 5:30,1074.36
2020/1/9 5:45,1128.11
2020/1/9 6:00,1161.66
2020/1/9 6:15,1214.71
2020/1/9 6:30,1221.91
2020/1/9 6:45,1290.72
2020/1/9 7:00,1348.96
2020/1/9 7:15,1454.44
2020/1/9 7:30,1477.99
2020/1/9 7:45,1445.29
2020/1/9 8:00,1417.56
2020/1/9 8:15,1372.67
2020/1/9 8:30,1335.09
2020/1/9 8:45,1121.81
2020/1/9 9:00,1048.44
2020/1/9 9:15,929.03
2020/1/9 9:30,810.82
2020/1/9 9:45,727.92
2020/1/9 10:00,796.72
2020/1/9 10:15,889.44
2020/1/9 10:30,965.41
2020/1/9 10:45,1084
2020/1/9 11:00,1169.46
2020/1/9 11:15,1211.21
2020/1/9 11:30,1208.06
2020/1/9 11:45,1305.3
2020/1/9 12:00,1308.52
2020/1/9 12:15,1347.06
2020/1/9 12:30,1409.09
2020/1/9 12:45,1450.05
2020/1/9 13:00,1525.13
2020/1/9 13:15,1585.06
2020/1/9 13:30,1538.79
2020/1/9 13:45,1571.28
2020/1/9 14:00,1679.99
2020/1/9 14:15,1739.93
2020/1/9 14:30,1668.72
2020/1/9 14:45,1575.36
2020/1/9 15:00,1576.8
2020/1/9 15:15,1665.39
2020/1/9 15:30,1683.05
2020/1/9 15:45,1663.85
2020/1/9 16:00,1623.3
2020/1/9 16:15,1629.69
2020/1/9 16:30,1806.51
2020/1/9 16:45,1871.6
2020/1/9 17:00,1981.84
2020/1/9 17:15,1925.69
2020/1/9 17:30,1765.61
2020/1/9 17:45,1772.56
2020/1/9 18:00,1805.4
2020/1/9 18:15,1715.01
2020/1/9 18:30,1595.45
2020/1/9 18:45,1522.99
2020/1/9 19:00,1617.63
2020/1/9 19:15,1326.75
2020/1/9 19:30,1220.34
2020/1/9 19:45,1242.47
2020/1/9 20:00,1380.42
2020/1/9 20:15,1637.45
2020/1/9 20:30,1739.4
2020/1/9 20:45,1791.61
2020/1/9 21:00,1787.21
2020/1/9 21:15,1741.03
2020/1/9 21:30,1649.11
2020/1/9 21:45,1635.02
2020/1/9 22:00,1593.3
2020/1/9 22:15,1551.29
2020/1/9 22:30,1526.86
2020/1/9 22:45,1533.42
2020/1/9 23:00,1479.5
2020/1/9 23:15,1476.06
2020/1/9 23:30,1399.64
2020/1/9 23:45,1361.35
2020/1/10 0:00,2677.14
2020/1/10 0:15,1008.78
2020/1/10 0:30,1102.13
2020/1/10 0:45,1198.53
2020/1/10 1:00,1223.02
2020/1/10 1:15,1214.36
2020/1/10 1:30,1224.21
2020/1/10 1:45,1220.44
2020/1/10 2:00,1253.34
2020/1/10 2:15,1175.76
2020/1/10 2:30,1216.05
